biosample_id,run_accession,fastq_file,download_url
SAMN03257091,SRR2898649,SRR2898649_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR289/009/SRR2898649/SRR2898649_subreads.fastq.gz
SAMN03257091,SRR2667443,SRR2667443_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR266/003/SRR2667443/SRR2667443_1.fastq.gz
SAMN03257091,SRR2667443,SRR2667443_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR266/003/SRR2667443/SRR2667443_2.fastq.gz
SAMN03257091,SRR2898648,SRR2898648_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR289/008/SRR2898648/SRR2898648_subreads.fastq.gz
SAMN03257091,SRR3668200,SRR3668200_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/000/SRR3668200/SRR3668200_subreads.fastq.gz
SAMN03257091,SRR3647358,SRR3647358_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/008/SRR3647358/SRR3647358_1.fastq.gz
SAMN03257091,SRR3647358,SRR3647358_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/008/SRR3647358/SRR3647358_2.fastq.gz
SAMN03257091,SRR3668199,SRR3668199_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/009/SRR3668199/SRR3668199_subreads.fastq.gz
SAMN41141464,SRR34323118,SRR34323118_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR343/018/SRR34323118/SRR34323118_1.fastq.gz
SAMN03257093,SRR3647360,SRR3647360.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/000/SRR3647360/SRR3647360.fastq.gz
SAMN03257093,SRR3647360,SRR3647360_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/000/SRR3647360/SRR3647360_1.fastq.gz
SAMN03257093,SRR3647360,SRR3647360_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR364/000/SRR3647360/SRR3647360_2.fastq.gz
SAMN03257093,SRR3668204,SRR3668204_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/004/SRR3668204/SRR3668204_subreads.fastq.gz
SAMN03257093,SRR2667510,SRR2667510_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR266/000/SRR2667510/SRR2667510_1.fastq.gz
SAMN03257093,SRR2667510,SRR2667510_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR266/000/SRR2667510/SRR2667510_2.fastq.gz
SAMN03257093,SRR3668203,SRR3668203_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR366/003/SRR3668203/SRR3668203_subreads.fastq.gz
SAMN33010680,SRR23325069,SRR23325069_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/069/SRR23325069/SRR23325069_1.fastq.gz
SAMN33010680,SRR23325069,SRR23325069_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/069/SRR23325069/SRR23325069_2.fastq.gz
SAMN33010680,SRR23325070,SRR23325070_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR233/070/SRR23325070/SRR23325070_1.fastq.gz
SAMN24039456,SRR17234889,SRR17234889_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/089/SRR17234889/SRR17234889_subreads.fastq.gz
SAMN24039456,SRR17234905,SRR17234905_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/005/SRR17234905/SRR17234905_1.fastq.gz
SAMN24039456,SRR17234905,SRR17234905_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/005/SRR17234905/SRR17234905_2.fastq.gz
SAMEA115401572,ERR12742693,ERR12742693.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/093/ERR12742693/ERR12742693.fastq.gz
SAMEA115401572,ERR12743228,ERR12743228.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/028/ERR12743228/ERR12743228.fastq.gz
SAMN24039411,SRR17234888,SRR17234888_subreads.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/088/SRR17234888/SRR17234888_subreads.fastq.gz
SAMN24039411,SRR17234901,SRR17234901_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/001/SRR17234901/SRR17234901_1.fastq.gz
SAMN24039411,SRR17234901,SRR17234901_2.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR172/001/SRR17234901/SRR17234901_2.fastq.gz
